,zipcode,geo_id,year,maxNaics_est,y_pred,Naics_score,pedestrian_scaled,vehicle_scaled,sentiment_score,ratings,centroid,geometry,estabratio,final_score
64,97080,41051010409,2017,23,23,10,2.791274366794854,2.8132729408915518,0.8259166666666666,5.0,POINT (-122.3854651713217 45.47608662598248),"MULTIPOLYGON (((-122.4016272228507 45.49274769304523, -122.3988142149045 45.49181569982863, -122.3939682021263 45.49044171251422, -122.3870111909089 45.49041374036987, -122.3821611811348 45.48984675694778, -122.3808061778051 45.48951876068393, -122.3776521683946 45.48828176685107, -122.3727281604027 45.48822978624987, -122.3726861413205 45.48282575771763, -122.3727421065052 45.47290770483198, -122.372740105545 45.47263570339519, -122.3727471013149 45.47143069697005, -122.3727940654697 45.46122564260993, -122.3826880798233 45.46126860687523, -122.3831390804814 45.46127160525143, -122.3893440894751 45.46129558281919, -122.396419121158 45.46719158654376, -122.4035431584537 45.47446259570349, -122.4035771595643 45.4747495969797, -122.4035671635462 45.47583260232273, -122.4035591661545 45.47654260583124, -122.3967961570038 45.47685263334018, -122.3880591437653 45.47686966700354, -122.3880791482473 45.47810467323166, -122.3897951566829 45.47971267478066, -122.3933151732344 45.48277767655185, -122.4000702053712 45.48866967919361, -122.4010782095274 45.48936467858813, -122.4055402326073 45.49368068172203, -122.4016272228507 45.49274769304523)))",1.147717446189703,6.947132744782393
26,97080,41051009906,2017,23,23,10,2.791274366794854,2.8132729408915518,0.5465,5.0,POINT (-122.4365630528267 45.48391162845191),"MULTIPOLYGON (((-122.4483452516475 45.48095745288756, -122.4479002558701 45.48220445999172, -122.4479042877164 45.49029049479419, -122.4474912920272 45.49155350190092, -122.4445572953548 45.49360352267155, -122.4385442955605 45.49615655843778, -122.4382162987737 45.49712156406306, -122.4346092930613 45.49716957911684, -122.4325122912575 45.49759158964878, -122.4309372899847 45.49793159767904, -122.4291472871188 45.49794960514419, -122.4255212590958 45.492159593438, -122.4245132527924 45.49092959183719, -122.4237642493534 45.49034059213031, -122.4218302379245 45.48814158967638, -122.4233272168806 45.4819805551455, -122.4290832123766 45.47847651666145, -122.4302021955204 45.47363949036487, -122.4312941948791 45.4730454835256, -122.4319341887697 45.47120847279659, -122.4340751865604 45.46980945844756, -122.4341961869754 45.46987045826778, -122.4405672020723 45.47131944075949, -122.4463292055072 45.4700064133605, -122.4482322087845 45.47012140671595, -122.4482762217682 45.4734004206538, -122.4482822280218 45.474985427448, -122.4483452516475 45.48095745288756)))",1.0142952367280358,6.820105398281366
38,97080,41051010408,2017,23,23,10,2.791274366794854,2.8132729408915518,0.0,4.166666666666667,POINT (-122.4046341072802 45.48519356722644),"MULTIPOLYGON (((-122.4138962754812 45.50169167899428, -122.4094842539648 45.49770468507114, -122.4087612505224 45.49709768511991, -122.4055402326073 45.49368068172203, -122.4010782095274 45.48936467858813, -122.4000702053712 45.48866967919361, -122.3933151732344 45.48277767655185, -122.3897951566829 45.47971267478066, -122.3880791482473 45.47810467323166, -122.3880591437653 45.47686966700354, -122.3967961570038 45.47685263334018, -122.4035591661545 45.47654260583124, -122.4035671635462 45.47583260232273, -122.4035771595643 45.4747495969797, -122.4035431584537 45.47446259570349, -122.4046111628524 45.47521659531605, -122.4058651671609 45.47586759369312, -122.4093321785026 45.47750158829295, -122.4138952010316 45.48165459048731, -122.4138382202866 45.48681561528204, -122.4138622338963 45.49043663242538, -122.4139012617524 45.49785166756573, -122.4138962754812 45.50169167899428)))",1.4622126542064906,6.533362039556788
2,97080,41051010402,2017,23,23,10,2.791274366794854,2.8132729408915518,0.0,4.166666666666667,POINT (-122.3356596646475 45.48564052912985),"MULTIPOLYGON (((-122.3868792758254 45.51902980162097, -122.3726752452095 45.51896085959314, -122.3715882478952 45.52117486526659, -122.3726192554296 45.52347286235279, -122.3696842474311 45.52285587395343, -122.3691082373647 45.51886887411164, -122.3730452382881 45.51561085619769, -122.3736262364994 45.51432385309115, -122.3705232239773 45.51153186427124, -122.3671122155872 45.51072287785584, -122.3612242133207 45.51527690444698, -122.3545792007706 45.51585393196162, -122.3528001951907 45.51477893872072, -122.3424351731255 45.51412898091588, -122.3400101700983 45.51541799143506, -122.339268168424 45.51531099442782, -122.3372771613883 45.51316100165165, -122.3383131600982 45.51076999635102, -122.3391751566402 45.50717599121909, -122.3387281526102 45.50490599206557, -122.3334411401126 45.50248101290515, -122.3324921363111 45.50074501611262, -122.3308911324934 45.49992402202513, -122.3243601166952 45.49838003994016, -122.3219731142059 45.49882205244685, -122.3197241087148 45.49826605840367, -122.3172411047193 45.49829106880754, -122.3141171029591 45.49934608813643, -122.3103601008611 45.50298810870886, -122.3073480967743 45.50485312179373, -122.3048790926707 45.50538213217119, -122.3022590877688 45.50493314286069, -122.2990190813243 45.50316415573019, -122.298722079811 45.50051515617449, -122.300562078411 45.49863513984095, -122.3039640782476 45.4968001143467, -122.3069600734305 45.49372008297249, -122.3073110677104 45.49172706921918, -122.3018040563564 45.4909220864395, -122.3007700512277 45.4898080836209, -122.2987060486235 45.49002909330228, -122.2961140507064 45.49204011645715, -122.294393060596 45.49614514951519, -122.2932440631258 45.49757616334566, -122.2906260612113 45.49835117909712, -122.2787570390868 45.49747122234112, -122.2783730371051 45.49701922095256, -122.2779680324078 45.49567021374665, -122.2809060313531 45.4937301890353, -122.2816100257931 45.49150617165355, -122.2831320245164 45.49027515749599, -122.2882560283246 45.48884012764568, -122.2908790262711 45.48680910413916, -122.2889740175298 45.4849300996329, -122.2875510075357 45.48238008881194, -122.2873660025246 45.48082807952499, -122.289100997122 45.47818105575137, -122.2898329824075 45.47300201968748, -122.28886997039 45.46953800106292, -122.2881439673728 45.46890099967951, -122.2836019594449 45.46849901403859, -122.2780559488642 45.46769802946637, -122.2764789435401 45.46669102869156, -122.2738159256451 45.46197700730175, -122.2726979222971 45.46139000747444, -122.3058339700259 45.46143488725633, -122.3160819849092 45.46148585029329, -122.3483130312546 45.46149773311328, -122.372106064433 45.46121164503585, -122.3727940654697 45.46122564260993, -122.3727471013149 45.47143069697005, -122.372740105545 45.47263570339519, -122.3727421065052 45.47290770483198, -122.3726861413205 45.48282575771763, -122.3727281604027 45.48822978624987, -122.3727441640422 45.48925679163944, -122.3727091667277 45.49003579591669, -122.3732471726613 45.49147680139657, -122.3775381835636 45.4926107900168, -122.3788871979695 45.4960538025487, -122.3779292003967 45.49717781236678, -122.3777032015487 45.49760681554629, -122.3798352178648 45.50173982024463, -122.3834062278639 45.5032728063584, -122.3851102391127 45.50644280122281, -122.3852932402656 45.50675580065694, -122.3858232439042 45.50776979908576, -122.3864672514028 45.51014879788197, -122.3865322519011 45.51028979770055, -122.3871352552132 45.51109779571416, -122.3868792758254 45.51902980162097)))",1.2763745767420254,6.476181092644646
61,97080,41051009903,2017,23,23,10,2.791274366794854,2.8132729408915518,0.0,4.166666666666667,POINT (-122.4702621896406 45.47307320369288),"MULTIPOLYGON (((-122.4943642936196 45.47401524792809, -122.4932282986375 45.47562125819364, -122.4929542995668 45.47594226043115, -122.4903073045622 45.47810127864499, -122.489792306248 45.47869428285433, -122.4878003174136 45.48211230345466, -122.4852193221727 45.48422632160386, -122.4851683238547 45.48465132342333, -122.4851583271966 45.48546132654749, -122.4807463235036 45.48624634704616, -122.4801243230224 45.48636734998352, -122.4754713193627 45.48726437198875, -122.4743503129508 45.4861283719625, -122.4693332969528 45.48413138383743, -122.4696962845474 45.4809353695757, -122.4675162771244 45.47993337402038, -122.4618152683483 45.47993339616417, -122.4619932715903 45.4806723985158, -122.4628412846722 45.48360040723723, -122.461302282388 45.48362941341007, -122.4606372816834 45.48371241636918, -122.4592582791714 45.48362242142122, -122.4579852732477 45.48263642231564, -122.4568532666034 45.48141142162506, -122.4483452516475 45.48095745288756, -122.4482822280218 45.474985427448, -122.4482762217682 45.4734004206538, -122.4482322087845 45.47012140671595, -122.4543812196189 45.47055038544823, -122.4546922182964 45.47010138238657, -122.4546252059735 45.46702636967326, -122.4546282053101 45.4668583689538, -122.4516061871824 45.4633983654364, -122.4477871720921 45.46096936896348, -122.4546581818124 45.4609363438769, -122.4666371997373 45.46112230114276, -122.4679992017237 45.46113029622708, -122.4725282083762 45.46116827992441, -122.4799402190239 45.46117125300459, -122.481777237868 45.46509926146607, -122.4857942506689 45.46677425302396, -122.4924212786799 45.47114524467024, -122.4934042884559 45.47312824830081, -122.4934992896213 45.47337224884248, -122.4943642936196 45.47401524792809)))",1.0333555523654168,6.401406008221074
63,97080,41051009905,2017,23,23,10,2.791274366794854,2.8132729408915518,0.0,4.166666666666667,POINT (-122.459602041916 45.48522009326165),"MULTIPOLYGON (((-122.4754713193627 45.48726437198875, -122.4676033123045 45.48859240868903, -122.4509692893882 45.48947547898904, -122.4479042877164 45.49029049479419, -122.4479002558701 45.48220445999172, -122.4483452516475 45.48095745288756, -122.4568532666034 45.48141142162506, -122.4579852732477 45.48263642231564, -122.4592582791714 45.48362242142122, -122.4606372816834 45.48371241636918, -122.461302282388 45.48362941341007, -122.4628412846722 45.48360040723723, -122.4619932715903 45.4806723985158, -122.4618152683483 45.47993339616417, -122.4675162771244 45.47993337402038, -122.4696962845474 45.4809353695757, -122.4693332969528 45.48413138383743, -122.4743503129508 45.4861283719625, -122.4754713193627 45.48726437198875)))",1.0095301578186906,6.394075117591313
62,97236,41051009903,2017,23,23,10,2.791274366794854,2.8132729408915518,0.0,4.166666666666667,POINT (-122.4702621896406 45.47307320369288),"MULTIPOLYGON (((-122.4943642936196 45.47401524792809, -122.4932282986375 45.47562125819364, -122.4929542995668 45.47594226043115, -122.4903073045622 45.47810127864499, -122.489792306248 45.47869428285433, -122.4878003174136 45.48211230345466, -122.4852193221727 45.48422632160386, -122.4851683238547 45.48465132342333, -122.4851583271966 45.48546132654749, -122.4807463235036 45.48624634704616, -122.4801243230224 45.48636734998352, -122.4754713193627 45.48726437198875, -122.4743503129508 45.4861283719625, -122.4693332969528 45.48413138383743, -122.4696962845474 45.4809353695757, -122.4675162771244 45.47993337402038, -122.4618152683483 45.47993339616417, -122.4619932715903 45.4806723985158, -122.4628412846722 45.48360040723723, -122.461302282388 45.48362941341007, -122.4606372816834 45.48371241636918, -122.4592582791714 45.48362242142122, -122.4579852732477 45.48263642231564, -122.4568532666034 45.48141142162506, -122.4483452516475 45.48095745288756, -122.4482822280218 45.474985427448, -122.4482762217682 45.4734004206538, -122.4482322087845 45.47012140671595, -122.4543812196189 45.47055038544823, -122.4546922182964 45.47010138238657, -122.4546252059735 45.46702636967326, -122.4546282053101 45.4668583689538, -122.4516061871824 45.4633983654364, -122.4477871720921 45.46096936896348, -122.4546581818124 45.4609363438769, -122.4666371997373 45.46112230114276, -122.4679992017237 45.46113029622708, -122.4725282083762 45.46116827992441, -122.4799402190239 45.46117125300459, -122.481777237868 45.46509926146607, -122.4857942506689 45.46677425302396, -122.4924212786799 45.47114524467024, -122.4934042884559 45.47312824830081, -122.4934992896213 45.47337224884248, -122.4943642936196 45.47401524792809)))",1.0028455801071814,6.392018324449309
0,97009,41051010402,2017,23,23,10,2.791274366794854,2.8132729408915518,0.0,4.166666666666667,POINT (-122.3356596646475 45.48564052912985),"MULTIPOLYGON (((-122.3868792758254 45.51902980162097, -122.3726752452095 45.51896085959314, -122.3715882478952 45.52117486526659, -122.3726192554296 45.52347286235279, -122.3696842474311 45.52285587395343, -122.3691082373647 45.51886887411164, -122.3730452382881 45.51561085619769, -122.3736262364994 45.51432385309115, -122.3705232239773 45.51153186427124, -122.3671122155872 45.51072287785584, -122.3612242133207 45.51527690444698, -122.3545792007706 45.51585393196162, -122.3528001951907 45.51477893872072, -122.3424351731255 45.51412898091588, -122.3400101700983 45.51541799143506, -122.339268168424 45.51531099442782, -122.3372771613883 45.51316100165165, -122.3383131600982 45.51076999635102, -122.3391751566402 45.50717599121909, -122.3387281526102 45.50490599206557, -122.3334411401126 45.50248101290515, -122.3324921363111 45.50074501611262, -122.3308911324934 45.49992402202513, -122.3243601166952 45.49838003994016, -122.3219731142059 45.49882205244685, -122.3197241087148 45.49826605840367, -122.3172411047193 45.49829106880754, -122.3141171029591 45.49934608813643, -122.3103601008611 45.50298810870886, -122.3073480967743 45.50485312179373, -122.3048790926707 45.50538213217119, -122.3022590877688 45.50493314286069, -122.2990190813243 45.50316415573019, -122.298722079811 45.50051515617449, -122.300562078411 45.49863513984095, -122.3039640782476 45.4968001143467, -122.3069600734305 45.49372008297249, -122.3073110677104 45.49172706921918, -122.3018040563564 45.4909220864395, -122.3007700512277 45.4898080836209, -122.2987060486235 45.49002909330228, -122.2961140507064 45.49204011645715, -122.294393060596 45.49614514951519, -122.2932440631258 45.49757616334566, -122.2906260612113 45.49835117909712, -122.2787570390868 45.49747122234112, -122.2783730371051 45.49701922095256, -122.2779680324078 45.49567021374665, -122.2809060313531 45.4937301890353, -122.2816100257931 45.49150617165355, -122.2831320245164 45.49027515749599, -122.2882560283246 45.48884012764568, -122.2908790262711 45.48680910413916, -122.2889740175298 45.4849300996329, -122.2875510075357 45.48238008881194, -122.2873660025246 45.48082807952499, -122.289100997122 45.47818105575137, -122.2898329824075 45.47300201968748, -122.28886997039 45.46953800106292, -122.2881439673728 45.46890099967951, -122.2836019594449 45.46849901403859, -122.2780559488642 45.46769802946637, -122.2764789435401 45.46669102869156, -122.2738159256451 45.46197700730175, -122.2726979222971 45.46139000747444, -122.3058339700259 45.46143488725633, -122.3160819849092 45.46148585029329, -122.3483130312546 45.46149773311328, -122.372106064433 45.46121164503585, -122.3727940654697 45.46122564260993, -122.3727471013149 45.47143069697005, -122.372740105545 45.47263570339519, -122.3727421065052 45.47290770483198, -122.3726861413205 45.48282575771763, -122.3727281604027 45.48822978624987, -122.3727441640422 45.48925679163944, -122.3727091667277 45.49003579591669, -122.3732471726613 45.49147680139657, -122.3775381835636 45.4926107900168, -122.3788871979695 45.4960538025487, -122.3779292003967 45.49717781236678, -122.3777032015487 45.49760681554629, -122.3798352178648 45.50173982024463, -122.3834062278639 45.5032728063584, -122.3851102391127 45.50644280122281, -122.3852932402656 45.50675580065694, -122.3858232439042 45.50776979908576, -122.3864672514028 45.51014879788197, -122.3865322519011 45.51028979770055, -122.3871352552132 45.51109779571416, -122.3868792758254 45.51902980162097)))",1.0,6.391142761339408
318,97236,41051009701,2017,23,62,5,2.791274366794854,2.8132729408915518,1.7641666666666667,5.0,POINT (-122.5036644350073 45.51177979964492),"MULTIPOLYGON (((-122.5107274895271 45.51021129263106, -122.5107135097106 45.51382629619841, -122.5106915394389 45.51915130145891, -122.4971865130414 45.5191533512384, -122.4964455114391 45.5191513542624, -122.4964635079684 45.51851335354833, -122.4965304813917 45.51365734839789, -122.4965544739282 45.51229234692848, -122.4965994448724 45.50699734142475, -122.496622431538 45.50456733888867, -122.510595455765 45.50421728726339, -122.5107804592597 45.50477928715882, -122.5107274895271 45.51021129263106)))",1.034146961286176,5.66241874942746
330,97236,41051009102,2017,23,62,5,2.791274366794854,2.8132729408915518,1.4002916666666665,4.5,POINT (-122.5064165476355 45.48846792324808),"MULTIPOLYGON (((-122.5235684070879 45.48870619950176, -122.523549435307 45.49510822123208, -122.5235474474087 45.49785123052197, -122.5170784400885 45.49897725693257, -122.5156104383264 45.49921326287777, -122.5106204238188 45.49804927623848, -122.5024233993837 45.49594829726663, -122.4966513844297 45.49477131508304, -122.4922973736512 45.4938833295609, -122.4846713547785 45.49230435457953, -122.484720345238 45.48998234552473, -122.4846903418471 45.48917534256696, -122.484692341291 45.489040342044, -122.4847233336846 45.4871923348714, -122.4851583271966 45.48546132654749, -122.4878413287011 45.48481031347221, -122.4917543256978 45.48262628989361, -122.4937893236069 45.48137327728879, -122.496862320371 45.47947525836224, -122.5011633228692 45.47844723864879, -122.5056693325979 45.47889122537229, -122.5066263347953 45.47901522265298, -122.5235763738205 45.48116517395612, -122.5235684070879 45.48870619950176)))",1.1508157456806107,5.432509144625748
