,zipcode,geo_id,year,maxNaics_est,y_pred,Naics_score,pedestrian_scaled,vehicle_scaled,sentiment_score,ratings,centroid,geometry,estabratio,final_score
173,97231,41051007000,2017,81,54,5,2.791274366794854,2.8132729408915518,1.93775,5.0,POINT (-122.7869655707251 45.56001722609412),"MULTIPOLYGON (((-122.8674945928168 45.60622027113011, -122.8674005962108 45.6067892721823, -122.8642256025908 45.60833827926067, -122.8614405977072 45.6079842827486, -122.8519965744506 45.60566529321672, -122.847582562447 45.60438129804771, -122.8437265644447 45.6053293050477, -122.8416635697338 45.6065423096365, -122.8374745649112 45.60641531564522, -122.8364815668823 45.60690631768804, -122.835514569256 45.60746131975441, -122.833371556315 45.60564032080291, -122.8327745431456 45.60352631929523, -122.8326995249482 45.60048331596708, -122.8321265199975 45.59974231602502, -122.8274825167433 45.59992732348273, -122.8264505119115 45.59927532441215, -122.8264514997991 45.59723132227353, -122.8254744943005 45.59645532303383, -122.8201274848065 45.59568033089187, -122.8188484759005 45.59436733172659, -122.8135554575219 45.59205533838265, -122.8120844439405 45.58996233906039, -122.8108534409265 45.58963434087694, -122.8099034385746 45.58937634228239, -122.805771427296 45.58806934833235, -122.8051324158622 45.58620234802588, -122.7994483922716 45.58298635579146, -122.79816437747 45.58061935653433, -122.7964403699447 45.57956935901409, -122.7942383516983 45.57672736134538, -122.7944323317176 45.57323735886029, -122.7911343252127 45.57257036483747, -122.7898433125434 45.57054736623358, -122.7905402975325 45.56784136336517, -122.7896222845431 45.56570636404422, -122.7847092797602 45.56553337393122, -122.7653212417441 45.56143641245938, -122.7631092429424 45.56194541716824, -122.7622412381276 45.56120441885012, -122.7604272400632 45.56179242272649, -122.7596622350277 45.56099642421453, -122.7602552315145 45.56029042287405, -122.7636852266289 45.55896641541227, -122.7605932223806 45.55861642192064, -122.7602842156897 45.55746342241542, -122.7577072172709 45.55808342800034, -122.7558142126577 45.55750643199294, -122.7571891973237 45.55458342876129, -122.7548842045731 45.55617943389568, -122.752815205405 45.55659843837965, -122.7531791856088 45.5529974374391, -122.7521811886793 45.55367643965788, -122.7495232067348 45.55736944622308, -122.7459542021562 45.55776545956572, -122.7442521967677 45.55737746591918, -122.7413631789165 45.55515247663634, -122.7398361752043 45.55500648232243, -122.7353991371528 45.54967649854288, -122.7334801305934 45.5491525056183, -122.7330651242521 45.54815350708635, -122.7353321257211 45.54764249866982, -122.7336991196269 45.54710450467152, -122.7349951092076 45.54478649974148, -122.7320971109958 45.54609951051761, -122.7290061074377 45.54651652196156, -122.7267120887625 45.54394153018836, -122.7271510842718 45.54298352848292, -122.7262170701436 45.54076153170342, -122.7267120575267 45.53832252965623, -122.7239130603415 45.53978654005364, -122.7196810406887 45.53769955530726, -122.7182450270202 45.53573256030423, -122.7182690132543 45.53324855989614, -122.713596009517 45.53417557703639, -122.7136870234144 45.53664357706938, -122.7119600133499 45.53542458318847, -122.712490003264 45.53342958095102, -122.7135209984638 45.53221357701852, -122.715295999534 45.53179857050896, -122.7168199956729 45.5305825648087, -122.7149819896112 45.53012157141082, -122.7149589711782 45.52681457102297, -122.7196069779089 45.52643355418545, -122.7197189589067 45.52297755335545, -122.7187469498275 45.52167755668632, -122.7208909469945 45.52043354883887, -122.7226709425572 45.51902554229851, -122.7269599550191 45.5197975270131, -122.7317319579729 45.51869350982889, -122.7371589730632 45.51954849044826, -122.74131697396 45.51828447550614, -122.7438579697715 45.51665946637458, -122.7438609855798 45.51950346643486, -122.7644630054956 45.51955640596648, -122.7644850458728 45.52673140732934, -122.7644760519827 45.52781840756761, -122.7644580621546 45.52962840797136, -122.7644570626772 45.52972140799228, -122.7644410698177 45.53099240828364, -122.7644380708623 45.53117840832788, -122.7644110856858 45.53381640891534, -122.7650750862984 45.53385240728583, -122.7660890868907 45.53384640478526, -122.7721490904231 45.53380938983717, -122.7751130922131 45.5338023825275, -122.7811450965927 45.53391736770499, -122.7823390974617 45.53394036477331, -122.7842310988368 45.53397636012912, -122.7848630992962 45.5339883585782, -122.784767146896 45.54231436277341, -122.7847681563931 45.54397336355989, -122.7847691631425 45.54515236411817, -122.7847701817009 45.54839436565749, -122.7848011817165 45.54839336558675, -122.7951101890056 45.54842734224863, -122.79269819263 45.54934434824831, -122.7959132106428 45.5520763427207, -122.7960562316228 45.55568934467955, -122.803131236706 45.5556833293499, -122.8045842406263 45.55617632657043, -122.8047612378792 45.55568232581824, -122.805431238358 45.55568132436612, -122.8054802804702 45.56290532974107, -122.8261862969435 45.56303528706821, -122.826209316176 45.5662782904006, -122.8262213267262 45.56805729223073, -122.8263413828657 45.57751530186543, -122.8469773999474 45.57751026331828, -122.846904420988 45.58101226809558, -122.8468484861209 45.59183028252554, -122.8675915050186 45.59187224791349, -122.8674945928168 45.60622027113011)))",1.0064572028701024,5.707309080171233
123,97231,41051004200,2017,81,72,5,2.791274366794854,2.8132729408915518,1.6475499999999998,4.85,POINT (-122.7614453871263 45.5913760630535),"MULTIPOLYGON (((-122.7771594584098 45.59796940131665, -122.770469467874 45.60074141271579, -122.7659974269115 45.5942174182201, -122.7667714365279 45.59579841731396, -122.7644214295386 45.59493942094591, -122.7605974345896 45.59646342739743, -122.7566134400557 45.59809843395362, -122.7533934193007 45.59491043891306, -122.747357402618 45.59336645470343, -122.74924638494 45.58954044735665, -122.7510403842378 45.5889914426636, -122.7561083437169 45.5809334333206, -122.764307375272 45.58531041924755, -122.7718374185491 45.59180140792548, -122.7771594584098 45.59796940131665)))",1.0613434272659736,5.5887509953699634
163,97231,41051004300,2017,81,54,5,2.791274366794854,2.8132729408915518,1.1954062500000002,4.625,POINT (-122.7696653845641 45.57922811512978),"MULTIPOLYGON (((-122.833371556315 45.60564032080291, -122.8299715428095 45.60392032396405, -122.8262645448248 45.6048593305281, -122.8234835466726 45.60562433545083, -122.820540567852 45.60969734374515, -122.8176995785915 45.6119983499311, -122.8180855847324 45.61297635030285, -122.8160845963378 45.61529235516269, -122.8134425998194 45.61634235964306, -122.8107315977513 45.61646036336474, -122.8089936013445 45.61737836642566, -122.8097536115559 45.61899236673948, -122.8068176015802 45.61780036963129, -122.8047496149803 45.6204663743504, -122.8017286069106 45.61961637761674, -122.7976105993107 45.61903838256036, -122.7908445948407 45.61947339159769, -122.7894865727432 45.61587239141015, -122.7883405658154 45.6148683924229, -122.7784594682482 45.59948539984239, -122.7771594584098 45.59796940131665, -122.7718374185491 45.59180140792548, -122.764307375272 45.58531041924755, -122.7561083437169 45.5809334333206, -122.7470763111065 45.57699145559992, -122.7389432685078 45.57210148641929, -122.7375932627678 45.5715294915158, -122.7372982584846 45.5708594926005, -122.7361962434446 45.56852949664796, -122.730521212648 45.56492651782566, -122.7226941720218 45.56029154679835, -122.7168991449534 45.55740256813226, -122.7026410887138 45.55216062040191, -122.6979840694339 45.55028563730826, -122.6920020278974 45.54486365820981, -122.6965700164203 45.54123964058566, -122.7055040273199 45.54014460759025, -122.710201028011 45.53866259012833, -122.7140240332253 45.53829257607978, -122.7178440489042 45.53980556229995, -122.7198120644789 45.54193355534801, -122.721876059058 45.54025254757286, -122.7244170641965 45.54030753826061, -122.7267120575267 45.53832252965623, -122.7262170701436 45.54076153170342, -122.7271510842718 45.54298352848292, -122.7267120887625 45.54394153018836, -122.7290061074377 45.54651652196156, -122.7320971109958 45.54609951051761, -122.7349951092076 45.54478649974148, -122.7336991196269 45.54710450467152, -122.7353321257211 45.54764249866982, -122.7330651242521 45.54815350708635, -122.7334801305934 45.5491525056183, -122.7353991371528 45.54967649854288, -122.7398361752043 45.55500648232243, -122.7413631789165 45.55515247663634, -122.7442521967677 45.55737746591918, -122.7459542021562 45.55776545956572, -122.7495232067348 45.55736944622308, -122.7521811886793 45.55367643965788, -122.7531791856088 45.5529974374391, -122.752815205405 45.55659843837965, -122.7548842045731 45.55617943389568, -122.7571891973237 45.55458342876129, -122.7558142126577 45.55750643199294, -122.7577072172709 45.55808342800034, -122.7602842156897 45.55746342241542, -122.7605932223806 45.55861642192064, -122.7636852266289 45.55896641541227, -122.7602552315145 45.56029042287405, -122.7596622350277 45.56099642421453, -122.7604272400632 45.56179242272649, -122.7622412381276 45.56120441885012, -122.7631092429424 45.56194541716824, -122.7653212417441 45.56143641245938, -122.7847092797602 45.56553337393122, -122.7896222845431 45.56570636404422, -122.7905402975325 45.56784136336517, -122.7898433125434 45.57054736623358, -122.7911343252127 45.57257036483747, -122.7944323317176 45.57323735886029, -122.7942383516983 45.57672736134538, -122.7964403699447 45.57956935901409, -122.79816437747 45.58061935653433, -122.7994483922716 45.58298635579146, -122.8051324158622 45.58620234802588, -122.805771427296 45.58806934833235, -122.8099034385746 45.58937634228239, -122.8108534409265 45.58963434087694, -122.8120844439405 45.58996233906039, -122.8135554575219 45.59205533838265, -122.8188484759005 45.59436733172659, -122.8201274848065 45.59568033089187, -122.8254744943005 45.59645532303383, -122.8264514997991 45.59723132227353, -122.8264505119115 45.59927532441215, -122.8274825167433 45.59992732348273, -122.8321265199975 45.59974231602502, -122.8326995249482 45.60048331596708, -122.8327745431456 45.60352631929523, -122.833371556315 45.60564032080291)))",1.064572028701025,5.38139248811921
150,97208,41051005100,2017,81,54,5,2.791274366794854,2.8132729408915518,1.037792,3.716,POINT (-122.6774213967558 45.52892204019181),"MULTIPOLYGON (((-122.6859319649592 45.53562767817628, -122.6832679726299 45.53791668851637, -122.678035947983 45.53527670688007, -122.6739439217216 45.5319577207763, -122.6690018881706 45.5276207373036, -122.6677838810637 45.52676074141996, -122.6670918589341 45.52302274265931, -122.6743948732372 45.52309371641238, -122.6774098786616 45.52303670554979, -122.6811198853596 45.52297069218629, -122.681605886146 45.52294569043131, -122.6831438889637 45.5229256848942, -122.6828058917093 45.52353468627625, -122.6832619090734 45.5264986854395, -122.6835179452789 45.5329166862502, -122.6855289488887 45.53287767892554, -122.6859319649592 45.53562767817628)))",1.0569972330264816,5.050872781757812
53,97231,41051007100,2017,81,54,5,2.791274366794854,2.8132729408915518,0.0,4.166666666666667,POINT (-122.8493377092763 45.66949279954018),"MULTIPOLYGON (((-122.9291930687991 45.6710093388903, -122.92895611561 45.67834435698101, -122.9291452151774 45.69380439476422, -122.9291222465399 45.69869140674175, -122.9291463929496 45.72147646255815, -122.8854633255876 45.72137245794864, -122.875390310455 45.72141245701306, -122.8634232921696 45.72141045581043, -122.7847351693263 45.72094044770193, -122.7846632133114 45.72864445134714, -122.7624371786779 45.72865944692366, -122.7621897042238 45.72857118441691, -122.7725110299794 45.69963143999556, -122.7730331877988 45.6946184576349, -122.7745109238734 45.68043143316442, -122.7638097786607 45.65713243368881, -122.7624138833083 45.65642637006789, -122.7637747633592 45.6544184332048, -122.7650657564907 45.65292243184319, -122.7692147381641 45.6488004272898, -122.782764698048 45.63899441079885, -122.7867256837472 45.63572140508753, -122.7901146703097 45.63272939981436, -122.7903936544198 45.62991339794838, -122.7911296320992 45.62589639484173, -122.7908445948407 45.61947339159769, -122.7976105993107 45.61903838256036, -122.8017286069106 45.61961637761674, -122.8047496149803 45.6204663743504, -122.8068176015802 45.61780036963129, -122.8097536115559 45.61899236673948, -122.8089936013445 45.61737836642566, -122.8107315977513 45.61646036336474, -122.8134425998194 45.61634235964306, -122.8160845963378 45.61529235516269, -122.8180855847324 45.61297635030285, -122.8176995785915 45.6119983499311, -122.820540567852 45.60969734374515, -122.8234835466726 45.60562433545083, -122.8262645448248 45.6048593305281, -122.8299715428095 45.60392032396405, -122.833371556315 45.60564032080291, -122.835514569256 45.60746131975441, -122.8364815668823 45.60690631768804, -122.8374745649112 45.60641531564522, -122.8416635697338 45.6065423096365, -122.8437265644447 45.6053293050477, -122.847582562447 45.60438129804771, -122.8519965744506 45.60566529321672, -122.8614405977072 45.6079842827486, -122.8642256025908 45.60833827926067, -122.8674005962108 45.6067892721823, -122.8674945928168 45.60622027113011, -122.8683025935809 45.6062172699334, -122.8879626134226 45.60634624117593, -122.8878367011447 45.62046026796643, -122.9089917249712 45.62075724152663, -122.9090778165793 45.63522227288519, -122.918724828368 45.63539326287586, -122.9291278393615 45.63530725147029, -122.9291148864933 45.64264626946116, -122.9291930687991 45.6710093388903)))",1.0403575179381406,4.865098920704989
