,pedestrianCount_sum,assetUid,latitude,longitude,time
47,17,1d663439-3e17-4972-8111-d8641ffa2da7,45.511943,-122.622689,Wed Jan 29 10:00:00 2020
48,6,1d663439-3e17-4972-8111-d8641ffa2da7,45.511943,-122.622689,Wed Jan 29 09:00:00 2020
49,2,1d663439-3e17-4972-8111-d8641ffa2da7,45.511943,-122.622689,Wed Jan 29 08:00:00 2020
50,0,1d663439-3e17-4972-8111-d8641ffa2da7,45.511943,-122.622689,Wed Jan 29 07:00:00 2020
51,0,1d663439-3e17-4972-8111-d8641ffa2da7,45.511943,-122.622689,Wed Jan 29 06:00:00 2020
52,0,1d663439-3e17-4972-8111-d8641ffa2da7,45.511943,-122.622689,Wed Jan 29 05:00:00 2020
53,5,1d663439-3e17-4972-8111-d8641ffa2da7,45.511943,-122.622689,Wed Jan 29 04:00:00 2020
54,3,1d663439-3e17-4972-8111-d8641ffa2da7,45.511943,-122.622689,Wed Jan 29 03:00:00 2020
55,4,1d663439-3e17-4972-8111-d8641ffa2da7,45.511943,-122.622689,Wed Jan 29 02:00:00 2020
56,9,1d663439-3e17-4972-8111-d8641ffa2da7,45.511943,-122.622689,Wed Jan 29 01:00:00 2020
57,9,1d663439-3e17-4972-8111-d8641ffa2da7,45.511943,-122.622689,Wed Jan 29 00:00:00 2020
58,23,1d663439-3e17-4972-8111-d8641ffa2da7,45.511943,-122.622689,Tue Jan 28 23:00:00 2020
59,29,1d663439-3e17-4972-8111-d8641ffa2da7,45.511943,-122.622689,Tue Jan 28 22:00:00 2020
60,45,1d663439-3e17-4972-8111-d8641ffa2da7,45.511943,-122.622689,Tue Jan 28 21:00:00 2020
61,81,1d663439-3e17-4972-8111-d8641ffa2da7,45.511943,-122.622689,Tue Jan 28 20:00:00 2020
62,121,1d663439-3e17-4972-8111-d8641ffa2da7,45.511943,-122.622689,Tue Jan 28 19:00:00 2020
63,67,1d663439-3e17-4972-8111-d8641ffa2da7,45.511943,-122.622689,Tue Jan 28 18:00:00 2020
64,42,1d663439-3e17-4972-8111-d8641ffa2da7,45.511943,-122.622689,Tue Jan 28 17:00:00 2020
65,36,1d663439-3e17-4972-8111-d8641ffa2da7,45.511943,-122.622689,Tue Jan 28 16:00:00 2020
66,37,1d663439-3e17-4972-8111-d8641ffa2da7,45.511943,-122.622689,Tue Jan 28 15:00:00 2020
67,24,1d663439-3e17-4972-8111-d8641ffa2da7,45.511943,-122.622689,Tue Jan 28 14:00:00 2020
68,31,1d663439-3e17-4972-8111-d8641ffa2da7,45.511943,-122.622689,Tue Jan 28 13:00:00 2020
69,17,1d663439-3e17-4972-8111-d8641ffa2da7,45.511943,-122.622689,Tue Jan 28 12:00:00 2020
70,9,1d663439-3e17-4972-8111-d8641ffa2da7,45.511943,-122.622689,Tue Jan 28 11:00:00 2020
71,10,1d663439-3e17-4972-8111-d8641ffa2da7,45.511943,-122.622689,Tue Jan 28 10:00:00 2020
72,5,1d663439-3e17-4972-8111-d8641ffa2da7,45.511943,-122.622689,Tue Jan 28 09:00:00 2020
73,2,1d663439-3e17-4972-8111-d8641ffa2da7,45.511943,-122.622689,Tue Jan 28 08:00:00 2020
