geo_id,"12:'Mining, Quarrying, and Oil and Gas Extraction'",23:'Construction',31:'Manufacturing',42:'Wholesale Trade',44:'Retail Trade,44:'Retail Trade',45:'Retail Trade',48:'Transportation and Warehousing',49:'Transportation and Warehousing',51:'Information',52:'Finance and Insurance',53:'Real Estate and Rental and Leasing',55:'Management of Companies and Enterprises',61:'Educational Services',62:'Health Care and Social Assistance'
41051000100,0.0,0.0,0.5813452830188679,0.4231,0.5535545454545454,0.5659896296296294,0.5576466666666667,0.21241666666666667,0.4084142857142856,0.0,0.3702666666666667,0.0,0.47990999999999995,0.38244615384615394,0.06281666666666667
41051000200,0.0,0.0,0.5462049999999999,0.13801666666666665,0.5200999999999999,0.4672158415841586,0.08946666666666668,0.0,0.30335833333333334,0.0,0.15704444444444446,0.0,0.4803222222222222,0.7397600000000001,0.048471428571428575
41051000301,-0.08666666666666667,0.437025,0.24146666666666664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6120833333333333
41051000302,0.0,0.0,-0.03490000000000001,0.42323333333333335,0.5107,0.6842666666666666,0.0,0.0,-0.20503333333333337,0.0,0.0,0.0,0.0,0.21255999999999997,0.14243333333333333
41051000401,0.0,0.42116666666666663,0.5543444444444443,0.2528333333333333,0.4213944444444445,0.5061741935483872,0.47235,0.27106666666666673,0.07973333333333331,0.0,0.2172764705882353,0.0,0.0,0.0,0.12596000000000002
41051000402,0.0,0.587925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41051000501,0.0,0.6607399999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.4767
41051000502,0.01476666666666667,0.12675,0.2962441176470587,0.3900333333333333,0.4941357142857144,0.46787777777777767,0.27666190476190483,0.0,0.3444599999999999,0.0,0.0,0.0,0.25611666666666666,0.5834571428571429,0.0
41051000601,0.0,0.40255,0.13070833333333334,0.4510666666666666,0.1947222222222222,0.37093250000000005,0.3344888888888889,0.4012833333333332,0.5646833333333333,0.0,-0.10409999999999997,0.03486666666666668,0.0,-0.1199,0.0
41051000602,0.4614,0.5250666666666667,0.0,-0.5945,0.3283625,0.5010812500000001,0.772111111111111,0.0,0.07660952380952382,0.0,0.1655,0.26683333333333337,0.0,0.5557000000000001,0.5896666666666667
41051000701,0.0,0.6951999999999999,0.30716666666666664,0.3535333333333333,0.3784352941176471,0.4362862068965517,0.0,0.0,0.3073666666666667,0.0,0.24434999999999998,0.0,0.0,0.2185857142857143,0.5357999999999999
41051000702,0.0,0.823,0.015383333333333351,0.2615,0.6277214285714287,0.5505321428571429,0.6865666666666667,0.0,0.22441999999999998,0.0,0.0,-0.14943333333333333,0.5371,0.6269,0.0
41051000801,0.6018666666666667,0.11239999999999999,0.379795652173913,0.7352499999999998,0.5238058823529411,0.6069153846153844,0.7263555555555556,0.0,0.08331071428571428,0.0,0.03456666666666667,0.0,0.44298333333333334,0.3924090909090909,-0.025999999999999995
41051000802,0.6941,0.4221444444444445,0.3994894736842105,0.12195,0.3654545454545454,0.4343269230769229,0.4168916666666667,0.25578333333333336,0.43591363636363645,0.0,0.43899166666666667,0.0,0.19593333333333338,0.2577384615384615,0.43060000000000004
41051000901,0.0,0.4956333333333333,0.6684974358974358,0.24709999999999996,0.4667666666666666,0.48164666666666667,0.5780916666666666,0.0,0.4357222222222223,0.0,0.5098,0.023800000000000005,0.73825,0.439807142857143,0.8452333333333334
41051000902,0.52925,0.09716666666666669,0.1238833333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4552333333333333
41051001000,0.2631833333333333,0.43644,0.36513703703703704,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4957875
41051001101,0.4380555555555556,0.3165111111111111,0.3688607594936709,0.36924166666666675,0.5077472222222225,0.44416371951219513,0.4963766666666666,0.4118470588235294,0.3147052631578947,0.0,0.40158000000000005,0.71545,0.5112031250000001,0.5546526315789474,0.36428000000000005
41051001102,-0.1668666666666667,0.3654,0.34335151515151524,0.6167833333333331,0.8475,0.5293586206896553,0.6812058823529413,0.40141,0.37511666666666676,0.0,0.0,0.0,0.5515545454545455,0.475475,0.0
41051001201,0.0,0.6012599999999999,0.41840909090909084,0.8316,0.5615470588235293,0.548895918367347,0.5337833333333334,0.5007583333333333,0.37107777777777773,0.0,0.06601666666666668,0.0,0.5498,0.6454166666666666,0.4058999999999999
41051001202,0.2718,0.0,0.4576666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4706444444444445
41051001301,0.0,0.4251666666666667,0.4650409090909091,0.29435,0.5013117647058823,0.6201325581395349,0.59185,0.3907,0.6252000000000001,0.0,0.2659,0.13633333333333333,0.6080312500000001,0.6102714285714287,0.56542
41051001302,0.0,0.0,0.5472916666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.4051333333333333
41051001400,0.0,0.4266888888888889,0.5279787878787882,0.22002,0.5579159999999995,0.4653116666666669,0.4544861111111109,0.6287333333333331,0.3076,0.0,0.11220434782608697,0.0,0.5263916666666666,0.6471100000000001,0.3264916666666667
41051001500,0.0,0.0,0.0,0.0,0.5483333333333333,0.5947944444444445,0.7812999999999999,0.0,0.6264666666666667,0.0,0.5078666666666667,0.7635333333333333,0.480375,0.37427499999999997,-0.17505
