,vehicleCount_sum,assetUid,latitude,longitude,time
,,,,,
0,462,01ec53e2-8464-4d0b-b0d4-76e1904d9af7,45.505296,-122.600155,Fri Jan 31 09:00:00 2020
1,179,01ec53e2-8464-4d0b-b0d4-76e1904d9af7,45.505296,-122.600155,Fri Jan 31 08:00:00 2020
2,63,01ec53e2-8464-4d0b-b0d4-76e1904d9af7,45.505296,-122.600155,Fri Jan 31 07:00:00 2020
3,44,01ec53e2-8464-4d0b-b0d4-76e1904d9af7,45.505296,-122.600155,Fri Jan 31 06:00:00 2020
4,49,01ec53e2-8464-4d0b-b0d4-76e1904d9af7,45.505296,-122.600155,Fri Jan 31 05:00:00 2020
5,74,01ec53e2-8464-4d0b-b0d4-76e1904d9af7,45.505296,-122.600155,Fri Jan 31 04:00:00 2020
6,117,01ec53e2-8464-4d0b-b0d4-76e1904d9af7,45.505296,-122.600155,Fri Jan 31 03:00:00 2020
7,186,01ec53e2-8464-4d0b-b0d4-76e1904d9af7,45.505296,-122.600155,Fri Jan 31 02:00:00 2020
8,311,01ec53e2-8464-4d0b-b0d4-76e1904d9af7,45.505296,-122.600155,Fri Jan 31 01:00:00 2020
9,549,01ec53e2-8464-4d0b-b0d4-76e1904d9af7,45.505296,-122.600155,Fri Jan 31 00:00:00 2020
10,619,01ec53e2-8464-4d0b-b0d4-76e1904d9af7,45.505296,-122.600155,Thu Jan 30 23:00:00 2020
11,806,01ec53e2-8464-4d0b-b0d4-76e1904d9af7,45.505296,-122.600155,Thu Jan 30 22:00:00 2020
12,1187,01ec53e2-8464-4d0b-b0d4-76e1904d9af7,45.505296,-122.600155,Thu Jan 30 21:00:00 2020
13,1453,01ec53e2-8464-4d0b-b0d4-76e1904d9af7,45.505296,-122.600155,Thu Jan 30 20:00:00 2020
14,1370,01ec53e2-8464-4d0b-b0d4-76e1904d9af7,45.505296,-122.600155,Thu Jan 30 19:00:00 2020
15,1416,01ec53e2-8464-4d0b-b0d4-76e1904d9af7,45.505296,-122.600155,Thu Jan 30 18:00:00 2020
16,1171,01ec53e2-8464-4d0b-b0d4-76e1904d9af7,45.505296,-122.600155,Thu Jan 30 17:00:00 2020
17,1136,01ec53e2-8464-4d0b-b0d4-76e1904d9af7,45.505296,-122.600155,Thu Jan 30 16:00:00 2020
18,1005,01ec53e2-8464-4d0b-b0d4-76e1904d9af7,45.505296,-122.600155,Thu Jan 30 15:00:00 2020
19,952,01ec53e2-8464-4d0b-b0d4-76e1904d9af7,45.505296,-122.600155,Thu Jan 30 14:00:00 2020
20,893,01ec53e2-8464-4d0b-b0d4-76e1904d9af7,45.505296,-122.600155,Thu Jan 30 13:00:00 2020
21,917,01ec53e2-8464-4d0b-b0d4-76e1904d9af7,45.505296,-122.600155,Thu Jan 30 12:00:00 2020
22,1341,01ec53e2-8464-4d0b-b0d4-76e1904d9af7,45.505296,-122.600155,Thu Jan 30 11:00:00 2020
23,1100,01ec53e2-8464-4d0b-b0d4-76e1904d9af7,45.505296,-122.600155,Thu Jan 30 10:00:00 2020
24,497,01ec53e2-8464-4d0b-b0d4-76e1904d9af7,45.505296,-122.600155,Thu Jan 30 09:00:00 2020
25,192,01ec53e2-8464-4d0b-b0d4-76e1904d9af7,45.505296,-122.600155,Thu Jan 30 08:00:00 2020
26,81,01ec53e2-8464-4d0b-b0d4-76e1904d9af7,45.505296,-122.600155,Thu Jan 30 07:00:00 2020
27,40,01ec53e2-8464-4d0b-b0d4-76e1904d9af7,45.505296,-122.600155,Thu Jan 30 06:00:00 2020
28,48,01ec53e2-8464-4d0b-b0d4-76e1904d9af7,45.505296,-122.600155,Thu Jan 30 05:00:00 2020
29,76,01ec53e2-8464-4d0b-b0d4-76e1904d9af7,45.505296,-122.600155,Thu Jan 30 04:00:00 2020
30,122,01ec53e2-8464-4d0b-b0d4-76e1904d9af7,45.505296,-122.600155,Thu Jan 30 03:00:00 2020
31,175,01ec53e2-8464-4d0b-b0d4-76e1904d9af7,45.505296,-122.600155,Thu Jan 30 02:00:00 2020
32,322,01ec53e2-8464-4d0b-b0d4-76e1904d9af7,45.505296,-122.600155,Thu Jan 30 01:00:00 2020
33,512,01ec53e2-8464-4d0b-b0d4-76e1904d9af7,45.505296,-122.600155,Thu Jan 30 00:00:00 2020
34,582,01ec53e2-8464-4d0b-b0d4-76e1904d9af7,45.505296,-122.600155,Wed Jan 29 23:00:00 2020
35,785,01ec53e2-8464-4d0b-b0d4-76e1904d9af7,45.505296,-122.600155,Wed Jan 29 22:00:00 2020
36,1090,01ec53e2-8464-4d0b-b0d4-76e1904d9af7,45.505296,-122.600155,Wed Jan 29 21:00:00 2020
37,1491,01ec53e2-8464-4d0b-b0d4-76e1904d9af7,45.505296,-122.600155,Wed Jan 29 20:00:00 2020
38,1378,01ec53e2-8464-4d0b-b0d4-76e1904d9af7,45.505296,-122.600155,Wed Jan 29 19:00:00 2020
39,1339,01ec53e2-8464-4d0b-b0d4-76e1904d9af7,45.505296,-122.600155,Wed Jan 29 18:00:00 2020
40,1112,01ec53e2-8464-4d0b-b0d4-76e1904d9af7,45.505296,-122.600155,Wed Jan 29 17:00:00 2020
41,1069,01ec53e2-8464-4d0b-b0d4-76e1904d9af7,45.505296,-122.600155,Wed Jan 29 16:00:00 2020
