,zipcode,geo_id,year,pop,households,income,edut,total_college,college_ratio,ratio_65,ratio_22_50,college_ratio_pop,bus_ratio,bus_ratio_total,public_ratio,car_ratio,bicy_ratio,walked_ratio,maxNaics_est,maxNaics_emp,Empratio,estabratio,emp_label,est_label
7,97009,41051010402,2017,6981.0,115.0,2303.0,4633.0,884.0,0.19080509389164688,0.3559661939550208,0.13379172038389914,0.1266294227188082,0.8671875,0.03211805555555555,0.037037037037037035,0.8825231481481481,0.0,0.03587962962962963,23,23,0.0,0.0,Low,Low
1352,97014,41051010500,2017,3912.0,122.0,1466.0,2732.0,551.0,0.20168374816983894,0.2249488752556237,0.2144683026584867,0.14084867075664623,0.0,0.0,0.03778501628664495,0.8338762214983714,0.0058631921824104215,0.016938110749185668,42,42,63.88888888888889,6.388888888888888,Low,Low
1551,97019,41051010500,2017,3912.0,122.0,1466.0,2732.0,551.0,0.20168374816983894,0.2249488752556237,0.2144683026584867,0.14084867075664623,0.0,0.0,0.03778501628664495,0.8338762214983714,0.0058631921824104215,0.016938110749185668,23,23,292.6229508196721,29.26229508196721,Medium Low,Medium High
1608,97024,41051009603,2017,4044.0,119.0,1229.0,2533.0,296.0,0.11685748124753258,0.3704253214638971,0.11671612265084075,0.07319485657764589,0.7926829268292683,0.03680634201585504,0.0464326160815402,0.8522083805209513,0.02491506228765572,0.01812004530011325,23,42,2.1296296296296298,0.19074074074074074,Low,Low
1610,97024,41051010100,2017,8755.0,190.0,3728.0,6112.0,914.0,0.14954188481675393,0.3825242718446602,0.14505996573386634,0.10439748715019989,1.0,0.08132375577219086,0.08132375577219086,0.879168804515136,0.0,0.009492047203694202,23,42,920.0,82.4,Medium High,High
1612,97024,41051010200,2017,6251.0,114.0,2430.0,4542.0,657.0,0.14464993394980186,0.3778595424732043,0.17725163973764194,0.1051031834906415,0.6142857142857143,0.028772164603546337,0.0468384074941452,0.8872532619605219,0.0,0.0117096018735363,23,42,183.14814814814807,16.403703703703705,Medium Low,Medium Low
1614,97024,41051010304,2017,4393.0,136.0,1390.0,2648.0,193.0,0.07288519637462236,0.425904848622809,0.08308672888686547,0.04393353061689051,0.8842975206611571,0.05652403592181723,0.06391970417326995,0.8515583729529846,0.0,0.032223983095615416,23,42,44.72222222222222,4.005555555555556,Low,Low
1714,97030,41051009801,2017,4583.0,104.0,1455.0,2644.0,124.0,0.046898638426626324,0.3624263582806022,0.09600698232598734,0.02705651320096007,0.5719063545150501,0.10160427807486633,0.1776589423648247,0.7153891859774213,0.0,0.05822935234699941,62,62,517.8809738503156,33.266907123534715,Medium Low,Medium High
1715,97030,41051009803,2017,7978.0,131.0,2577.0,5328.0,677.0,0.12706456456456455,0.38518425670594136,0.15104036099273002,0.08485836049135122,0.9572368421052632,0.08591674047829938,0.0897549453793918,0.7939179214644227,0.01682905225863596,0.059344552701505765,62,62,353.9945897204689,22.73940486925158,Medium Low,Medium Low
1716,97030,41051009904,2017,3962.0,147.0,1416.0,2545.0,375.0,0.14734774066797643,0.3685007571933367,0.11408379606259465,0.09464916708732964,0.811965811965812,0.05199781061850027,0.06403940886699508,0.8035030103995622,0.006568144499178982,0.02079912424740011,62,62,26.22182146077548,1.6844003606853015,Low,Low
