,zipcode,geo_id,year,pop,households,income,edut,total_college,college_ratio,ratio_65,ratio_22_50,college_ratio_pop,bus_ratio,bus_ratio_total,public_ratio,car_ratio,bicy_ratio,walked_ratio,maxNaics_est,maxNaics_emp,Empratio,estabratio,emp_label,est_label
0,97009,41051010402,2010,5717.0,162.0,1859.0,3699.0,650.0,0.17572316842389835,0.3914640545740773,0.09130662935105824,0.11369599440265873,0.4901960784313725,0.009611687812379852,0.0196078431372549,0.8915801614763552,0.005767012687427913,0.014994232987312572,23,23,0.0,0.0,Low,Low
1,97009,41051010402,2011,6037.0,149.0,1960.0,4024.0,844.0,0.20974155069582506,0.4058307106178565,0.10800066258075204,0.1398045386781514,0.3059701492537313,0.01450813871196037,0.047416843595187545,0.8665958952583156,0.03043170559094126,0.009907997169143666,23,23,0.0,0.0,Low,Low
2,97009,41051010402,2012,6153.0,139.0,1998.0,4090.0,876.0,0.21418092909535452,0.3939541686981961,0.10905249471802372,0.14236957581667478,0.26666666666666666,0.011157601115760113,0.04184100418410042,0.8570432357043236,0.03347280334728033,0.004532775453277545,23,23,0.0,0.0,Low,Low
3,97009,41051010402,2013,6022.0,129.0,2087.0,3931.0,700.0,0.17807173747138133,0.36648953835934905,0.1086017934241116,0.11624045167718366,0.3217391304347826,0.01286509040333797,0.03998609179415855,0.8588317107093185,0.02573018080667594,0.012517385257301807,23,23,0.0,0.0,Low,Low
4,97009,41051010402,2014,6181.0,120.0,2191.0,4094.0,773.0,0.18881289692232536,0.3873159682899207,0.1087202718006795,0.12506066979453162,0.26436781609195403,0.00747238466536712,0.028265107212475632,0.8755685510071475,0.016244314489928524,0.023391812865497075,23,23,0.0,0.0,Low,Low
5,97009,41051010402,2015,6349.0,116.0,2201.0,4184.0,863.0,0.20626195028680688,0.38210741849110097,0.1189163647818554,0.1359269176248228,0.5960264900662252,0.029382957884427036,0.04929807378387202,0.8416585047339208,0.01665034280117532,0.02611818478615736,23,23,0.0,0.0,Low,Low
6,97009,41051010402,2016,6566.0,117.0,2201.0,4383.0,874.0,0.19940679899612138,0.3624733475479744,0.128388668900396,0.13310996040207126,0.8131868131868132,0.023197492163009405,0.02852664576802508,0.8780564263322884,0.0,0.03385579937304075,23,23,0.0,0.0,Low,Low
8,97014,41051010500,2010,3944.0,106.0,1320.0,2580.0,571.0,0.22131782945736433,0.2593813387423935,0.10775862068965517,0.1447768762677485,1.0,0.012464589235127478,0.012464589235127478,0.8039660056657224,0.00226628895184136,0.031161473087818695,44,72,255.5555555555556,17.888888888888886,Medium Low,Medium Low
200,97014,41051010500,2011,4138.0,107.0,1428.0,2803.0,531.0,0.18943988583660365,0.3011116481391977,0.10657322377960368,0.12832286128564524,1.0,0.004454342984409799,0.004454342984409799,0.8279510022271714,0.005011135857461025,0.027282850779510023,44,72,249.16666666666663,17.25,Medium Low,Medium Low
392,97014,41051010500,2012,4229.0,110.0,1471.0,2899.0,435.0,0.1500517419799931,0.2995980137148262,0.11019153464175928,0.10286119650035469,1.0,0.0040045766590389035,0.0040045766590389035,0.8100686498855835,0.007437070938215103,0.03775743707093822,42,72,121.38888888888887,9.583333333333332,Low,Medium Low
408,97014,41051010500,2012,4229.0,110.0,1471.0,2899.0,435.0,0.1500517419799931,0.2995980137148262,0.11019153464175928,0.10286119650035469,1.0,0.0040045766590389035,0.0040045766590389035,0.8100686498855835,0.007437070938215103,0.03775743707093822,72,72,121.38888888888887,9.583333333333332,Low,Medium Low
584,97014,41051010500,2013,4543.0,116.0,1515.0,3145.0,553.0,0.17583465818759936,0.29341844596081884,0.1465991635483161,0.12172573189522343,0.215686274509804,0.0067360685854255965,0.03123086344151868,0.7758726270667483,0.006123698714023271,0.03368034292712799,42,72,172.5,12.138888888888884,Medium Low,Medium Low
592,97014,41051010500,2013,4543.0,116.0,1515.0,3145.0,553.0,0.17583465818759936,0.29341844596081884,0.1465991635483161,0.12172573189522343,0.215686274509804,0.0067360685854255965,0.03123086344151868,0.7758726270667483,0.006123698714023271,0.03368034292712799,72,72,172.5,12.138888888888884,Medium Low,Medium Low
776,97014,41051010500,2014,4308.0,114.0,1551.0,2985.0,484.0,0.16214405360134004,0.2852831940575673,0.16968430826369546,0.11234911792014857,0.2432432432432433,0.006198347107438018,0.025482093663911846,0.7871900826446281,0.008264462809917356,0.03650137741046832,42,42,115.0,11.5,Low,Medium Low
968,97014,41051010500,2015,4186.0,121.0,1500.0,2867.0,590.0,0.2057900244157656,0.26063067367415194,0.1798853320592451,0.1409460105112279,0.18,0.005030743432084964,0.027948574622694244,0.8429290106204583,0.014533258803801009,0.029066517607602014,42,42,127.77777777777777,12.777777777777775,Low,Medium Low
970,97014,41051010500,2015,4186.0,121.0,1500.0,2867.0,590.0,0.2057900244157656,0.26063067367415194,0.1798853320592451,0.1409460105112279,0.18,0.005030743432084964,0.027948574622694244,0.8429290106204583,0.014533258803801009,0.029066517607602014,72,42,127.77777777777777,12.777777777777775,Low,Medium Low
