geo_id,geometry,pedestrianCountSum,vehicleCountSum
41051010402,"MULTIPOLYGON (((-122.3868792758254 45.51902980162097, -122.3726752452095 45.51896085959314, -122.3716292489644 45.52160686534025, -122.3726192554296 45.52347286235279, -122.3696842474311 45.52285587395343, -122.3691082373647 45.51886887411164, -122.3730452382881 45.51561085619769, -122.3736262364994 45.51432385309115, -122.3705232239773 45.51153186427124, -122.3671122155872 45.51072287785584, -122.3612242133207 45.51527690444698, -122.3545792007706 45.51585393196162, -122.3528001951907 45.51477893872072, -122.3424351731255 45.51412898091588, -122.3400101700983 45.51541799143506, -122.339268168424 45.51531099442782, -122.3372771613883 45.51316100165165, -122.3383131600982 45.51076999635102, -122.3391751566402 45.50717599121909, -122.3387281526102 45.50490599206557, -122.3334411401126 45.50248101290515, -122.3324921363111 45.50074501611262, -122.3308911324934 45.49992402202513, -122.3243601166952 45.49838003994016, -122.3219731142059 45.49882205244685, -122.3197241087148 45.49826605840367, -122.3172411047193 45.49829106880754, -122.3141171029591 45.49934608813643, -122.3103601008611 45.50298810870886, -122.3073480967743 45.50485312179373, -122.3048790926707 45.50538213217119, -122.3022590877688 45.50493314286069, -122.2990190813243 45.50316415573019, -122.298722079811 45.50051515617449, -122.300562078411 45.49863513984095, -122.3039640782476 45.4968001143467, -122.3069600734305 45.49372008297249, -122.3073110677104 45.49172706921918, -122.3018040563564 45.4909220864395, -122.3007700512277 45.4898080836209, -122.2987060486235 45.49002909330228, -122.2961140507064 45.49204011645715, -122.294393060596 45.49614514951519, -122.2932440631258 45.49757616334566, -122.2906260612113 45.49835117909712, -122.2787570390868 45.49747122234112, -122.2783730371051 45.49701922095256, -122.2779680324078 45.49567021374665, -122.2809060313531 45.4937301890353, -122.2816100257931 45.49150617165355, -122.2831320245164 45.49027515749599, -122.2882560283246 45.48884012764568, -122.2908790262711 45.48680910413916, -122.2889740175298 45.4849300996329, -122.2875510075357 45.48238008881194, -122.2873660025246 45.48082807952499, -122.289100997122 45.47818105575137, -122.2898329824075 45.47300201968748, -122.2893379743853 45.47061900625492, -122.2881439673728 45.46890099967951, -122.2836019594449 45.46849901403859, -122.2780559488642 45.46769802946637, -122.2764789435401 45.46669102869156, -122.2749039320383 45.46360001407657, -122.2731239231964 45.46148700656949, -122.3058339700259 45.46143488725633, -122.3160779850701 45.46153785062333, -122.3483150312676 45.4615007331229, -122.3727940654697 45.46122564260993, -122.3727471013149 45.47143069697005, -122.372740105545 45.47263570339519, -122.3727421065052 45.47290770483198, -122.3726861413205 45.48282575771763, -122.3727281604027 45.48822978624987, -122.3727441640422 45.48925679163944, -122.3727091667277 45.49003579591669, -122.3732471726613 45.49147680139657, -122.3775381835636 45.4926107900168, -122.3788871979695 45.4960538025487, -122.3779292003967 45.49717781236678, -122.3777032015487 45.49760681554629, -122.3851102391127 45.50644280122281, -122.3852932402656 45.50675580065694, -122.3858232439042 45.50776979908576, -122.3864672514028 45.51014879788197, -122.3865322519011 45.51028979770055, -122.3871352552132 45.51109779571416, -122.3868792758254 45.51902980162097)))",22.0,707.22
41051010500,"MULTIPOLYGON (((-122.3970989671113 45.57260058402317, -122.3918004411694 45.57453681646787, -122.3835673611763 45.57553913378183, -122.3803004034571 45.57593686197526, -122.3721876127164 45.57401933163663, -122.3528002923813 45.56943696550447, -122.3418099400056 45.55849830300305, -122.3390684908166 45.55576974657777, -122.3315001928912 45.548237039882, -122.2948990854023 45.54353718421086, -122.2948180832295 45.54353804625762, -122.2666990068901 45.54383729696513, -122.2626229952619 45.54431731333059, -122.2595289860129 45.54509445728674, -122.2489909610476 45.54774136304601, -122.2016981210023 45.56413732995622, -122.1975241473503 45.56727969829162, -122.1836931517783 45.57769233813675, -122.1668281985819 45.58036748753953, -122.1407482694377 45.58450433631864, -122.1295463111954 45.58294132861666, -122.1294883112913 45.58296332865923, -122.1261953234691 45.58256932643634, -122.1261953232858 45.58261332656309, -122.1123543731762 45.58140531803009, -122.1016733976475 45.58351232135097, -122.100184725694 45.58418780023634, -122.0443724154953 45.60951242541333, -122.0225694309799 45.61514746034862, -122.0036884695211 45.61592647201964, -121.9830364599544 45.622808509659, -121.9797954508832 45.6248355201413, -121.963545421323 45.63278055870443, -121.9612564189936 45.63593733684554, -121.9557323523822 45.64355561217101, -121.9518363487042 45.64494761767451, -121.9351473855654 45.64416560652759, -121.9222343700685 45.6490796930423, -121.9219076764937 45.61084044153496, -121.9181077061964 45.60810942845148, -121.9165077130079 45.60767342638336, -121.9155547342562 45.60527541509417, -121.9133337607338 45.60256240245243, -121.9132127720684 45.60118639602014, -121.9151547859209 45.59895338537623, -121.9154128002357 45.59710437665019, -121.9145308256098 45.59418436304769, -121.9159228400458 45.59201435260752, -121.9159668615969 45.58932033990585, -121.9184818796756 45.58638032543273, -121.9179958933262 45.58481231812729, -121.9158989148605 45.5827103087802, -121.9136729288426 45.58158930417253, -121.9101749395569 45.58123030356347, -121.911329962706 45.57803928834633, -121.9111859728865 45.57681728270614, -121.9129639823183 45.57514627425432, -121.9138380150108 45.57083725372788, -121.9115870488145 45.56728723814557, -121.9072670633931 45.56672623758691, -121.9083240722974 45.56532023058435, -121.9069050976875 45.56259221871747, -121.9052971092418 45.56163321516103, -121.9028181196288 45.56107421393998, -121.9032511391441 45.55854320215514, -121.9018651617344 45.5561681921472, -121.9092161962125 45.54972115787368, -121.9145121937385 45.54842614822262, -121.9197041871871 45.54766114100519, -121.9222211883921 45.54674013484063, -121.9204662047553 45.54523412891, -121.9168612269768 45.54357212368122, -121.9135092788749 45.53815510081326, -121.9131482890404 45.5370050957246, -121.9137633080755 45.5344480832362, -121.9115273485721 45.53012706500634, -121.9112933627347 45.528445057384, -121.9102463767059 45.52704705185605, -121.9070064034602 45.52477204441631, -121.9067414387761 45.52049302497071, -121.8978924962482 45.51628201500162, -121.8937815310904 45.51334900631684, -121.8906765445422 45.51271600693236, -121.8861785591726 45.5123950105064, -121.8821765650582 45.51297601745632, -121.8789695648894 45.51403002550501, -121.874650562036 45.51575803752493, -121.8694495883336 45.51425303681832, -121.8686446252058 45.51008402035227, -121.8654936735683 45.50530500423043, -121.8612937107627 45.50222499669108, -121.8599117322456 45.49983198876863, -121.8599327142804 45.49684997828309, -121.8615556938882 45.49420096683193, -121.8631776804203 45.49270695936925, -121.8602016692148 45.48946995202349, -121.8550916679266 45.48688595024474, -121.8497506790911 45.48626495577334, -121.8470966612964 45.48204294548946, -121.8453226342032 45.47666493030798, -121.8386476441698 45.47517893594006, -121.8360366451551 45.47410393663813, -121.8349206373416 45.47225493254373, -121.8307936333414 45.46960593095722, -121.8293476272316 45.46787892798982, -121.8255056268969 45.46597192861361, -121.8219046232147 45.46360592763438, -121.8203936160858 45.46166192445006, -121.8219936115554 45.4616699216582, -121.8219996029844 45.46021791728116, -121.9832641410995 45.46024563053717, -121.9832461488791 45.46145763679102, -122.0042580803088 45.46145761549401, -122.0864826800243 45.46107777218482, -122.0864896762681 45.4603597679575, -122.1666282923878 45.46111992717668, -122.2640299102655 45.4615330399622, -122.2657799126135 45.46147603321094, -122.2731239231964 45.46148700656949, -122.2749039320383 45.46360001407657, -122.2764789435401 45.46669102869156, -122.2780559488642 45.46769802946637, -122.2836019594449 45.46849901403859, -122.2881439673728 45.46890099967951, -122.2893379743853 45.47061900625492, -122.2898329824075 45.47300201968748, -122.289100997122 45.47818105575137, -122.2873660025246 45.48082807952499, -122.2875510075357 45.48238008881194, -122.2889740175298 45.4849300996329, -122.2908790262711 45.48680910413916, -122.2882560283246 45.48884012764568, -122.2831320245164 45.49027515749599, -122.2816100257931 45.49150617165355, -122.2809060313531 45.4937301890353, -122.2779680324078 45.49567021374665, -122.2783730371051 45.49701922095256, -122.2787570390868 45.49747122234112, -122.2906260612113 45.49835117909712, -122.2932440631258 45.49757616334566, -122.294393060596 45.49614514951519, -122.2961140507064 45.49204011645715, -122.2987060486235 45.49002909330228, -122.3007700512277 45.4898080836209, -122.3018040563564 45.4909220864395, -122.3073110677104 45.49172706921918, -122.3069600734305 45.49372008297249, -122.3039640782476 45.4968001143467, -122.300562078411 45.49863513984095, -122.298722079811 45.50051515617449, -122.2990190813243 45.50316415573019, -122.3022590877688 45.50493314286069, -122.3048790926707 45.50538213217119, -122.3073480967743 45.50485312179373, -122.3103601008611 45.50298810870886, -122.3141171029591 45.49934608813643, -122.3172411047193 45.49829106880754, -122.3197241087148 45.49826605840367, -122.3219731142059 45.49882205244685, -122.3243601166952 45.49838003994016, -122.3308911324934 45.49992402202513, -122.3324921363111 45.50074501611262, -122.3334411401126 45.50248101290515, -122.3387281526102 45.50490599206557, -122.3391751566402 45.50717599121909, -122.3383131600982 45.51076999635102, -122.3372771613883 45.51316100165165, -122.339268168424 45.51531099442782, -122.3400101700983 45.51541799143506, -122.3424351731255 45.51412898091588, -122.3528001951907 45.51477893872072, -122.3545792007706 45.51585393196162, -122.3612242133207 45.51527690444698, -122.3671122155872 45.51072287785584, -122.3705232239773 45.51153186427124, -122.3736262364994 45.51432385309115, -122.3730452382881 45.51561085619769, -122.3691082373647 45.51886887411164, -122.3696842474311 45.52285587395343, -122.3703082504469 45.5235798718136, -122.3717402562048 45.52468986660759, -122.3717902564216 45.5247348664295, -122.3721712580245 45.52505486506021, -122.3738012641452 45.52607585901526, -122.3716872665391 45.52930086939406, -122.3724562825544 45.53549186975074, -122.3767903005334 45.53834085394603, -122.3824803231977 45.54133083288318, -122.3855213400601 45.54459982269059, -122.3855403408489 45.54487982278472, -122.3867343516417 45.54767681972888, -122.3865743547857 45.54903582119611, -122.3850463577598 45.55188182899556, -122.382595354804 45.55360183974385, -122.3814423547692 45.55497884512611, -122.3818953591655 45.55616484403888, -122.3832023661689 45.55731183956141, -122.3873393851178 45.55954682460341, -122.3925024067739 45.56138680542851, -122.3951234238232 45.56436179702953, -122.3964734302853 45.56504279217503, -122.4012214196366 45.57109412215016, -122.3970989671113 45.57260058402317)))",22.0,707.22
41051009603,"MULTIPOLYGON (((-122.4661255423961 45.53952849632692, -122.4656775426601 45.53983949840174, -122.461511532565 45.54007551531345, -122.4566475168594 45.53948853430665, -122.4564454684011 45.52875352587569, -122.456094465658 45.52832652692997, -122.4551614593876 45.52741352992766, -122.4551284560007 45.52666652942192, -122.4551874227992 45.51914252273944, -122.4603204337524 45.51912750176459, -122.465394444716 45.51914248105692, -122.4654304787914 45.52638148737427, -122.4661585148286 45.5336634909419, -122.4661255423961 45.53952849632692)))",22.0,707.22
41051010100,"MULTIPOLYGON (((-122.4566475168594 45.53948853430665, -122.4533675061408 45.53904454708515, -122.445306483101 45.53866757912052, -122.433425462852 45.5415826290785, -122.4334754609652 45.54105962847108, -122.4336984445508 45.53666662415373, -122.4336444382176 45.53506762312483, -122.4336484351333 45.53426862248607, -122.4336524313632 45.53329262170936, -122.433619410099 45.52782261758035, -122.4337833766111 45.51908361010136, -122.4338173556763 45.51366560573709, -122.4334573440078 45.51083560501084, -122.4310983318059 45.50882761316797, -122.4401013590337 45.51137757811604, -122.4448413736532 45.51267355968938, -122.4537364000665 45.51467752486453, -122.4551294042518 45.51498351941563, -122.4551874227992 45.51914252273944, -122.4551284560007 45.52666652942192, -122.4551614593876 45.52741352992766, -122.456094465658 45.52832652692997, -122.4564454684011 45.52875352587569, -122.4566475168594 45.53948853430665)))",22.0,707.22
41051010200,"MULTIPOLYGON (((-122.5865501307936 45.59923808302688, -122.5860047179612 45.60473762482788, -122.5823251430864 45.60409562429846, -122.5814051472636 45.60393510634833, -122.5512780521834 45.59743821553549, -122.5503305911263 45.59723389607509, -122.5501881008239 45.59720316811896, -122.5494379874201 45.59704140657104, -122.5481480442669 45.59676323102886, -122.5459804340772 45.59613140153297, -122.5236669580287 45.58962731985971, -122.5053519988777 45.58592405504973, -122.4960178750099 45.58403670673223, -122.4922578481848 45.58327643478266, -122.4793137810829 45.57975648135406, -122.4757769019515 45.57865046546348, -122.4746577565865 45.57830049800987, -122.4709821666447 45.57635512176916, -122.4708983559699 45.57631076336589, -122.4538896318214 45.56730856906304, -122.4410603364861 45.56416559226467, -122.4386725652317 45.56358062561052, -122.4346789392532 45.56415866496904, -122.4169325090906 45.5667272914581, -122.410704486246 45.56762873819959, -122.4012214196366 45.57109412215016, -122.3964734302853 45.56504279217503, -122.3951234238232 45.56436179702953, -122.3925024067739 45.56138680542851, -122.3873393851178 45.55954682460341, -122.3832023661689 45.55731183956141, -122.3818953591655 45.55616484403888, -122.3814423547692 45.55497884512611, -122.382595354804 45.55360183974385, -122.3850463577598 45.55188182899556, -122.3865743547857 45.54903582119611, -122.3867343516417 45.54767681972888, -122.3855403408489 45.54487982278472, -122.3858483417657 45.54489882156685, -122.3909413568529 45.5451708014082, -122.4039273914903 45.54452474915159, -122.4075953988558 45.54361073387853, -122.4105574035604 45.54253172129015, -122.411711405201 45.54206671634824, -122.4163224120472 45.54037469668273, -122.4182684158891 45.53996968859032, -122.4221814263242 45.53994767288606, -122.423859431429 45.54011266628128, -122.432004460162 45.54189263500713, -122.433425462852 45.5415826290785, -122.445306483101 45.53866757912052, -122.4533675061408 45.53904454708515, -122.4566475168594 45.53948853430665, -122.461511532565 45.54007551531345, -122.4670605485844 45.54030649327611, -122.4773105889405 45.54284945457309, -122.491919628589 45.54272039602573, -122.4957306391003 45.54272038078416, -122.4959706770358 45.54951238663163, -122.4985736874955 45.55002037679842, -122.5002176947623 45.55049437080624, -122.5002256969473 45.55088237117069, -122.5103057260483 45.55266133550521, -122.5100018047196 45.56683635046996, -122.515912821344 45.56780332907557, -122.5258948471675 45.56903429247461, -122.5433529196547 45.5760802323331, -122.5543139661255 45.58067919420142, -122.5794810848143 45.59339710659452, -122.5867251213329 45.59748308117788, -122.5865501307936 45.59923808302688)))",22.0,707.22
41051010304,"MULTIPOLYGON (((-122.4336984445508 45.53666662415373, -122.4334754609652 45.54105962847108, -122.433425462852 45.5415826290785, -122.432004460162 45.54189263500713, -122.423859431429 45.54011266628128, -122.4221814263242 45.53994767288606, -122.4182684158891 45.53996968859032, -122.4163224120472 45.54037469668273, -122.411711405201 45.54206671634824, -122.4116703916828 45.53800871366908, -122.4165824023154 45.5373336934566, -122.4146213962001 45.53704370113089, -122.4158113919638 45.53489069480709, -122.418462396417 45.53422368364698, -122.4178543854974 45.53151668414053, -122.4139433740534 45.53098369956102, -122.4130353686198 45.53002370255326, -122.4131313611377 45.52771470053509, -122.433619410099 45.52782261758035, -122.4336524313632 45.53329262170936, -122.4336484351333 45.53426862248607, -122.4336444382176 45.53506762312483, -122.4336984445508 45.53666662415373)))",22.0,707.22
41051009801,"MULTIPOLYGON (((-122.475774467029 45.51914743867257, -122.4680814504665 45.51913847008036, -122.4674684491503 45.51913847258369, -122.465394444716 45.51914248105692, -122.4603204337524 45.51912750176459, -122.4551874227992 45.51914252273944, -122.4551294042518 45.51498351941563, -122.4550503905246 45.51191951711709, -122.4550243573694 45.50444151082456, -122.4584053633413 45.50444149683968, -122.4678813803787 45.50450445770076, -122.4755913942824 45.50455942586262, -122.4757004298935 45.51169643204732, -122.4757214395929 45.51364243377041, -122.475774467029 45.51914743867257)))",22.0,707.22
41051009803,"MULTIPOLYGON (((-122.4847343307979 45.48649133215405, -122.4846903418471 45.48917534256696, -122.484720345238 45.48998234552473, -122.4846713547785 45.49230435457953, -122.4846673637735 45.49447736288533, -122.4846653675357 45.49538636636119, -122.4846623750078 45.49719137325933, -122.484679384613 45.49950338200888, -122.4846614104189 45.50457638836641, -122.483381408169 45.50457939366315, -122.4829524074149 45.50458039543837, -122.4755913942824 45.50455942586262, -122.4678813803787 45.50450445770076, -122.4584053633413 45.50444149683968, -122.4647893250282 45.49285643734348, -122.4640253241555 45.49294544080698, -122.464653323632 45.4925644367032, -122.4676063127464 45.48870040911365, -122.4676033123045 45.48859240868903, -122.4754713193627 45.48726437198875, -122.4801243230224 45.48636734998352, -122.4807463235036 45.48624634704616, -122.4851583271966 45.48546132654749, -122.4847343307979 45.48649133215405)))",22.0,707.22
41051009904,"MULTIPOLYGON (((-122.4676063127464 45.48870040911365, -122.464653323632 45.4925644367032, -122.4640253241555 45.49294544080698, -122.4575623291372 45.49680348314871, -122.4568343286539 45.49698048688152, -122.4447713094565 45.49711253705779, -122.4382162987737 45.49712156406306, -122.4385442955605 45.49615655843778, -122.4474912920272 45.49155350190092, -122.4479042877164 45.49029049479419, -122.4509692893882 45.48947547898904, -122.4676033123045 45.48859240868903, -122.4676063127464 45.48870040911365)))",22.0,707.22
41051009906,"MULTIPOLYGON (((-122.4483452516475 45.48095745288756, -122.4479002558701 45.48220445999172, -122.4479042877164 45.49029049479419, -122.4474912920272 45.49155350190092, -122.4385442955605 45.49615655843778, -122.4382162987737 45.49712156406306, -122.4346092930613 45.49716957911684, -122.4325122912575 45.49759158964878, -122.4309372899847 45.49793159767904, -122.4291472871188 45.49794960514419, -122.4255212590958 45.492159593438, -122.4245132527924 45.49092959183719, -122.4237642493534 45.49034059213031, -122.4218302379245 45.48814158967638, -122.4231152174523 45.48221755707377, -122.4287052134795 45.47891552012524, -122.4312941948791 45.4730454835256, -122.4319341887697 45.47120847279659, -122.4340751865604 45.46980945844756, -122.4341961869754 45.46987045826778, -122.4405672020723 45.47131944075949, -122.4463292055072 45.4700064133605, -122.4482322087845 45.47012140671595, -122.4482762217682 45.4734004206538, -122.4482822280218 45.474985427448, -122.4483452516475 45.48095745288756)))",22.0,707.22
